"Class","Name","Description","Mapped US Core Profiles","Mapped US Quality Core Profiles","Mapped US Quality Core Elements"
"Orders","Medication Order","Provider-authored request for the dispensing of a therapeutic agent.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationprohibited; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequested","USQualityCoreMedicationRequest.medication[x]; USQualityCoreMedicationRequest.intent; USQualityCoreMedicationRequest.status; USQualityCoreMedicationRequest.dispenseRequest.numberOfRepeatsAllowed; USQualityCoreMedicationRequest.dispenseRequest.validityPeriod; USQualityCoreMedicationRequest.doNotPerform; USQualityCoreMedicationRequest.medication[x].extension:codeOptions; USQualityCoreMedicationRequest.authoredOn; USQualityCoreMedicationProhibited.medication[x]; USQualityCoreMedicationProhibited.intent; USQualityCoreMedicationProhibited.status; USQualityCoreMedicationProhibited.dispenseRequest.numberOfRepeatsAllowed; USQualityCoreMedicationProhibited.dispenseRequest.validityPeriod; USQualityCoreMedicationProhibited.doNotPerform; USQualityCoreMedicationProhibited.medication[x].extension:codeOptions; USQualityCoreMedicationProhibited.authoredOn; USQualityCoreMedicationRequested.medication[x]; USQualityCoreMedicationRequested.intent; USQualityCoreMedicationRequested.status; USQualityCoreMedicationRequested.dispenseRequest.numberOfRepeatsAllowed; USQualityCoreMedicationRequested.dispenseRequest.validityPeriod; USQualityCoreMedicationRequested.doNotPerform; USQualityCoreMedicationRequested.medication[x].extension:codeOptions; USQualityCoreMedicationRequested.authoredOn"
"Orders","Nutrition Order","A provider-authored request for nutrition support such as therapeutic diets, enteral feedings, parenteral nutrition, or oral nutritional supplements.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-nutritionorder","USQualityCoreNutritionOrder.patient; USQualityCoreNutritionOrder.status; USQualityCoreNutritionOrder.oralDiet; USQualityCoreNutritionOrder.oralDiet.type; USQualityCoreNutritionOrder.oralDiet.type.extension:codeOptions; USQualityCoreNutritionOrder.supplement; USQualityCoreNutritionOrder.supplement.type; USQualityCoreNutritionOrder.supplement.type.extension:codeOptions; USQualityCoreNutritionOrder.enteralFormula; USQualityCoreNutritionOrder.enteralFormula.baseFormulaType; USQualityCoreNutritionOrder.enteralFormula.baseFormulaType.extension:codeOptions"
"Orders","Portable Medical Order","Provider-authored request for end-of-life or life-sustaining care for a person who has a serious life-limiting medical condition. Usage note: These are meant to follow a person regardless of when and where such an order might be needed (e.g., hospital, care facility, community, home). There are variations in requirements and names for portable medical orders based on jurisdiction. Examples include, but are not limited to, POLST (Portable Medical Order for Life-Sustaining Treatment), MOLST (Medical Orders for Life-Sustaining Treatment), and out-of-hospital DNR (do-not-resuscitate).","http://hl7.org/fhir/us/core/StructureDefinition/us-core-adi-documentreference|9.0.0","",""
"Orders","Procedure Order","Provider-authored request for the delivery of patient care services.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-serviceprohibited; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequested","USQualityCoreServiceRequest.code; USQualityCoreServiceRequest.status; USQualityCoreServiceRequest.intent; USQualityCoreServiceRequest.authoredOn; USQualityCoreServiceRequest.code.extension:codeOptions; USQualityCoreServiceProhibited.code; USQualityCoreServiceProhibited.status; USQualityCoreServiceProhibited.intent; USQualityCoreServiceProhibited.authoredOn; USQualityCoreServiceProhibited.code.extension:codeOptions; USQualityCoreServiceRequested.code; USQualityCoreServiceRequested.status; USQualityCoreServiceRequested.intent; USQualityCoreServiceRequested.authoredOn; USQualityCoreServiceRequested.code.extension:codeOptions"
"Patient Demographics/Information","Current Address","Place where a person is located or may be contacted.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.address; USQualityCorePatient.address.city; USQualityCorePatient.address.line; USQualityCorePatient.address.period; USQualityCorePatient.address.postalCode; USQualityCorePatient.address.state; USQualityCorePatient.address.use"
"Patient Demographics/Information","Date of Birth","Known or estimated year, month, and day of the patient's birth.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.birthDate"
"Patient Demographics/Information","Date of Death","Known or estimated year, month, and day of the patient's death.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.deceased[x]"
"Patient Demographics/Information","Email Address","Unique identifier of an individual's email account that is used to send and receive email messages.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.telecom; USQualityCorePatient.telecom.system; USQualityCorePatient.telecom.use; USQualityCorePatient.telecom.value"
"Patient Demographics/Information","Ethnicity","Patient's self-identification as Hispanic/ Latino or Non- Hispanic/ Non-Latino.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.extension:ethnicity"
"Patient Demographics/Information","First Name","A personal name used before a family name.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.name; USQualityCorePatient.name.given; USQualityCorePatient.name.period; USQualityCorePatient.name.use"
"Patient Demographics/Information","Interpreter Needed","Indication of whether a person needs language interpretation services.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.extension:interpreterRequired"
"Patient Demographics/Information","Last Name","Portion of one's personal name indicating familial or communal ties.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.name; USQualityCorePatient.name.family; USQualityCorePatient.name.period"
"Patient Demographics/Information","Middle Name (Including middle initial)","A second or subsequent given name, between the first given name and the family name or surname.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.name; USQualityCorePatient.name.given; USQualityCorePatient.name.period"
"Patient Demographics/Information","Name Suffix","Name component following family name that may be used to describe a person's position in a family.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.name; USQualityCorePatient.name.period; USQualityCorePatient.name.suffix"
"Patient Demographics/Information","Occupation","Type of work of a person. Examples include but are not limited to infantry, business analyst, and social worker.","http://hl7.org/fhir/us/core/StructureDefinition/us-core-observation-occupation|9.0.0","",""
"Patient Demographics/Information","Occupation Industry","Type of business that compensates for work or assigns work to an unpaid worker or volunteer. Examples include but are not limited to U.S. Army, cement manufacturing, and children and youth services.","http://hl7.org/fhir/us/core/StructureDefinition/us-core-observation-occupation|9.0.0","",""
"Patient Demographics/Information","Patient Identifier","An identifier for the patient.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.identifier; USQualityCorePatient.identifier.system; USQualityCorePatient.identifier.value"
"Patient Demographics/Information","Phone Number","Numbers and symbols to contact an individual when using a phone.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.telecom; USQualityCorePatient.telecom.system; USQualityCorePatient.telecom.use; USQualityCorePatient.telecom.value"
"Patient Demographics/Information","Phone Number Type","Contact point when using a phone. Examples include but are not limited to home, work, and mobile.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.telecom.use"
"Patient Demographics/Information","Preferred Language","Documented language that the patient would like to use when discussing health care.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.communication; USQualityCorePatient.communication.language"
"Patient Demographics/Information","Previous Address","Prior place where a person may have been located or could have been contacted. Includes street name, number, city/town, state, and zip code.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.address; USQualityCorePatient.address.city; USQualityCorePatient.address.line; USQualityCorePatient.address.period; USQualityCorePatient.address.postalCode; USQualityCorePatient.address.state; USQualityCorePatient.address.use"
"Patient Demographics/Information","Previous Name","Any first and last name an individual may have used in the past for any reason.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.name; USQualityCorePatient.name.family; USQualityCorePatient.name.given; USQualityCorePatient.name.period; USQualityCorePatient.name.suffix; USQualityCorePatient.name.use"
"Patient Demographics/Information","Race","An individual's response to the race question based upon self-identification.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.extension:race"
"Patient Demographics/Information","Related Person's Name","Name of a person with a legal or familial relationship to a patient.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-relatedperson","USQualityCoreRelatedPerson.name"
"Patient Demographics/Information","Relationship Type","Relationship of a person to a patient. Examples include but are not limited to parent, next-of-kin, guardian, and custodian.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-relatedperson","USQualityCoreRelatedPerson.relationship"
"Patient Demographics/Information","Sex","Documentation of a specific instance of sex.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.extension:sex"
"Patient Demographics/Information","Tribal Affiliation","Tribe or band with which an individual associates.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-patient","USQualityCorePatient.extension:tribalAffiliation"
"Pregnancy Information","Delivery Procedures","The method by which a baby is delivered (e.g., vaginal delivery, cesarean section).","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-procedure; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-proceduredone","USQualityCoreProcedure.code; USQualityCoreProcedureDone.code"
"Pregnancy Information","Estimated Date of Delivery","The estimated due date (EDD) is the date that spontaneous onset of labor is expected to occur.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-simple-observation","USQualityCoreSimpleObservation.code; USQualityCoreSimpleObservation.value[x]"
"Pregnancy Information","Fetal Presentation","The anatomical part of the fetus closest to the maternal pelvic inlet at the onset of labor.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-simple-observation","USQualityCoreSimpleObservation.code; USQualityCoreSimpleObservation.value[x]"
"Pregnancy Information","Gestational Age","The estimated age of the pregnancy, expressed in weeks and fractions of weeks.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-simple-observation","USQualityCoreSimpleObservation.code; USQualityCoreSimpleObservation.value[x]"
"Pregnancy Information","Gravidity","The number of pregnancies, current and past, regardless of the pregnancy outcome.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-simple-observation","USQualityCoreSimpleObservation.code; USQualityCoreSimpleObservation.value[x]"
"Pregnancy Information","Parity","Parity is defined as the number of pregnancies reaching 20 weeks and 0 days of gestation or beyond, including the present pregnancy","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-simple-observation","USQualityCoreSimpleObservation.code; USQualityCoreSimpleObservation.value[x]"
"Pregnancy Information","Pregnancy Outcomes","The clinical conclusion of the pregnancy focusing on the end status of the pregnancy and the clinical status of the mother.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-simple-observation","USQualityCoreSimpleObservation.code; USQualityCoreSimpleObservation.value[x]"
"Pregnancy Information","Preterm Births","Number of births or deliveries that have occurred before 37 0/7 weeks of gestation","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-simple-observation","USQualityCoreSimpleObservation.code; USQualityCoreSimpleObservation.value[x]"
"Pregnancy Information","Term Births","Number of deliveries that have occurred at 37 0/7 weeks of gestation, or after.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-simple-observation","USQualityCoreSimpleObservation.code; USQualityCoreSimpleObservation.value[x]"
"Pregnancy Information","Delivery Date and Time","The date and time when the newborn is completely delivered, either by full expulsion from the birth canal or full removal from the uterus, documented in the maternal record.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-simple-observation","USQualityCoreSimpleObservation.code; USQualityCoreSimpleObservation.value[x]"
"Problems","Condition Status","Statement of how a diagnosis, problem, or condition presents or manifests in the patient. Examples include but are not limited to active, resolved, recurrence, and remission.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-condition-problems-health-concerns","USQualityCoreConditionProblemsHealthConcerns.clinicalStatus"
"Problems","Date of Diagnosis","Date of first determination by a qualified professional of the presence of a problem or condition affecting a patient.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-condition-problems-health-concerns; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-condition-encounter-diagnosis","USQualityCoreConditionProblemsHealthConcerns.recordedDate; USQualityCoreConditionProblemsHealthConcerns.extension:assertedDate; USQualityCoreConditionEncounterDiagnosis.recordedDate"
"Problems","Date of Onset","Date when a problem/condition started.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-condition-problems-health-concerns; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-condition-encounter-diagnosis","USQualityCoreConditionProblemsHealthConcerns.onset[x]; USQualityCoreConditionEncounterDiagnosis.onset[x]"
"Problems","Date of Resolution","Date of subsiding or termination of a symptom, problem or condition.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-condition-problems-health-concerns; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-condition-encounter-diagnosis","USQualityCoreConditionProblemsHealthConcerns.abatement[x]; USQualityCoreConditionEncounterDiagnosis.abatement[x]"
"Problems","Problems","Condition, diagnosis, or reason for seeking medical attention.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-condition-problems-health-concerns","USQualityCoreConditionProblemsHealthConcerns.code; USQualityCoreConditionProblemsHealthConcerns.severity"
"Problems","SDOH Problems/Health Concerns","Social Determinants of Health-related health concerns, conditions, or diagnoses. Examples include but are not limited to homelessness and food insecurity.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-condition-problems-health-concerns","USQualityCoreConditionProblemsHealthConcerns.code; USQualityCoreConditionProblemsHealthConcerns.severity"
"Procedures","Performance Time","Time and/or date an activity is performed. Examples include but are not limited to vaccine or medication administration times, surgery start time, time ultrasound performed, and laboratory specimen collection time.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-procedure; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-proceduredone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-diagnosticreport-note; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunization; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunizationdone","USQualityCoreProcedure.performed[x]; USQualityCoreProcedureDone.performed[x]; USQualityCoreDiagnosticReportNote.effective[x]; USQualityCoreImmunization.occurrence[x]; USQualityCoreImmunizationDone.occurrence[x]"
"Procedures","Procedure Reason Code","An explanation or justification for a service requested in coded or textual form.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-procedure; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-procedurenotdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-serviceprohibited; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-proceduredone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequested","USQualityCoreProcedure.reasonCode; USQualityCoreProcedure.reasonReference; USQualityCoreServiceRequest.reasonCode; USQualityCoreServiceRequest.reasonReference; USQualityCoreProcedureNotDone.reasonCode; USQualityCoreProcedureNotDone.reasonReference; USQualityCoreServiceProhibited.reasonCode; USQualityCoreServiceProhibited.reasonReference; USQualityCoreProcedureDone.reasonCode; USQualityCoreProcedureDone.reasonReference; USQualityCoreServiceRequested.reasonCode; USQualityCoreServiceRequested.reasonReference"
"Procedures","Procedure Status","The status of planned or performed activity.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-procedure; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-procedurenotdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-proceduredone","USQualityCoreProcedure.status; USQualityCoreProcedure.statusReason; USQualityCoreProcedureNotDone.status; USQualityCoreProcedureNotDone.statusReason; USQualityCoreProcedureDone.status; USQualityCoreProcedureDone.statusReason"
"Procedures","Procedure Type","The specific type of medical procedure performed.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-procedure; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-proceduredone","USQualityCoreProcedure.code; USQualityCoreProcedureDone.code"
"Procedures","Procedures","Activity performed for or on a patient as part of the provision of care.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-procedure; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-proceduredone","USQualityCoreProcedure.code; USQualityCoreProcedure.partOf; USQualityCoreProcedureDone.code; USQualityCoreProcedureDone.partOf"
"Procedures","Reason for Referral","Explanation or justification for a referral or consultation.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-procedure; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-procedurenotdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-serviceprohibited; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-proceduredone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequested","USQualityCoreProcedure.reasonCode; USQualityCoreProcedure.reasonReference; USQualityCoreServiceRequest.reasonCode; USQualityCoreServiceRequest.reasonReference; USQualityCoreProcedureNotDone.reasonCode; USQualityCoreProcedureNotDone.reasonReference; USQualityCoreServiceProhibited.reasonCode; USQualityCoreServiceProhibited.reasonReference; USQualityCoreProcedureDone.reasonCode; USQualityCoreProcedureDone.reasonReference; USQualityCoreServiceRequested.reasonCode; USQualityCoreServiceRequested.reasonReference"
"Procedures","SDOH Interventions","Actions or services to address an identified Social Determinants of Health-related health concern, condition, or diagnosis. Examples include but are not limited to education about food pantry program and referral to non- emergency medical transportation program.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-procedure; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-procedurenotdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-serviceprohibited; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-proceduredone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequested","USQualityCoreProcedure.code; USQualityCoreServiceRequest.code; USQualityCoreProcedureNotDone.code; USQualityCoreServiceProhibited.code; USQualityCoreProcedureDone.code; USQualityCoreServiceRequested.code"
"Provenance","Author","Actor that created or revised the data. Usage note: The actor may be a provider, a patient, a device, an outside medical record, or something else. The source of the information can be used to form assessments about its quality, reliability, trustworthiness, or can indicate where to go to determine the origins of the information.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-adverseevent; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-devicerequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-deviceprohibited; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-devicerequested; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-imagingstudy; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunization; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunizationdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-immunizationnotdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministration; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministrationdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationadministrationnotdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispense; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispensedone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationdispensedeclined; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationrequested; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-medicationprohibited; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-nutritionorder; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-procedure; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-proceduredone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-procedurenotdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequested; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-serviceprohibited; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-task; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-taskdone; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-taskrejected; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-allergyintolerance; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-careplan; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-condition-encounter-diagnosis; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-condition-problems-health-concerns; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-diagnosticreport-lab; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-diagnosticreport-note; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-goal; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-lab; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-clinical-result; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-observation-screening-assessment; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-simple-observation; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-questionnaireresponse","USQualityCoreAdverseEvent.recorder; USQualityCoreDeviceRequest.requester; USQualityCoreDeviceProhibited.requester; USQualityCoreDeviceRequested.requester; USQualityCoreImagingStudy.interpreter; USQualityCoreImagingStudy.series.performer.actor; USQualityCoreImmunization.performer.actor; USQualityCoreImmunizationDone.performer.actor; USQualityCoreImmunizationNotDone.performer.actor; USQualityCoreMedicationAdministration.performer.actor; USQualityCoreMedicationAdministrationDone.performer.actor; USQualityCoreMedicationAdministrationNotDone.performer.actor; USQualityCoreMedicationDispense.performer.actor; USQualityCoreMedicationDispenseDone.performer.actor; USQualityCoreMedicationDispenseDeclined.performer.actor; USQualityCoreMedicationRequest.requester; USQualityCoreMedicationRequest.reported[x]:reportedReference; USQualityCoreMedicationRequested.requester; USQualityCoreMedicationRequested.reported[x]:reportedReference; USQualityCoreMedicationProhibited.requester; USQualityCoreMedicationProhibited.reported[x]:reportedReference; USQualityCoreNutritionOrder.orderer; USQualityCoreProcedure.performer.actor; USQualityCoreProcedureDone.performer.actor; USQualityCoreProcedureNotDone.performer.actor; USQualityCoreServiceRequest.requester; USQualityCoreServiceRequested.requester; USQualityCoreServiceProhibited.requester; USQualityCoreTask.requester; USQualityCoreTaskDone.requester; USQualityCoreTaskRejected.requester; USQualityCoreAllergyIntolerance.recorder; USQualityCoreCarePlan.contributor; USQualityCoreConditionEncounterDiagnosis.recorder; USQualityCoreConditionProblemsHealthConcerns.recorder; USQualityCoreDiagnosticReportLab.performer; USQualityCoreDiagnosticReportNote.performer; USQualityCoreDiagnosticReportNote.resultsInterpreter; USQualityCoreGoal.expressedBy; USQualityCoreObservationLab.performer; USQualityCoreObservationClinicalResult.performer; USQualityCoreObservationScreeningAssessment.performer; USQualityCoreSimpleObservation.performer; USQualityCoreQuestionnaireResponse.author"
"Provenance","Author Organization","Organization associated with author.","http://hl7.org/fhir/us/core/StructureDefinition/us-core-provenance|9.0.0","",""
"Provenance","Author Role","Category of actor that participated in the creation or revision of data. Usage note: The source of the information can be used to form assessments about its quality, reliability, trustworthiness, or can indicate where to go to determine the origins of the information. Examples include but are not limited to provider, patient, family member, and device.","http://hl7.org/fhir/us/core/StructureDefinition/us-core-provenance|9.0.0","",""
"Provenance","Author Time Stamp","Date and time of author action.","http://hl7.org/fhir/us/core/StructureDefinition/us-core-provenance|9.0.0","",""
"Referrals","Referral Status","The current state of a referral e.g., draft, active, on-hold, revoked, completed, entered-in-error, unknown.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-serviceprohibited; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequested","USQualityCoreServiceRequest.status; USQualityCoreServiceProhibited.status; USQualityCoreServiceRequested.status"
"Referrals","Referral Date and Time","Date and time when a provider wrote an order requesting services.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequest; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-serviceprohibited; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-servicerequested","USQualityCoreServiceRequest.authoredOn; USQualityCoreServiceProhibited.authoredOn; USQualityCoreServiceRequested.authoredOn"
"Task","Task Code","Identifies the type of task that is involved.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-task; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-taskrejected; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-taskdone","USQualityCoreTask.code; USQualityCoreTask.focus; USQualityCoreTask.basedOn; USQualityCoreTask.executionPeriod; USQualityCoreTask.for; USQualityCoreTaskRejected.code; USQualityCoreTaskRejected.focus; USQualityCoreTaskRejected.basedOn; USQualityCoreTaskRejected.executionPeriod; USQualityCoreTaskRejected.for; USQualityCoreTaskDone.code; USQualityCoreTaskDone.focus; USQualityCoreTaskDone.basedOn; USQualityCoreTaskDone.executionPeriod; USQualityCoreTaskDone.for"
"Task","Task Status","The current status of the task.","","http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-task; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-taskrejected; http://hl7.org/fhir/us/quality-core/StructureDefinition/us-quality-core-taskdone","USQualityCoreTask.status; USQualityCoreTask.statusReason; USQualityCoreTask.reasonCode; USQualityCoreTaskRejected.status; USQualityCoreTaskRejected.statusReason; USQualityCoreTaskRejected.reasonCode; USQualityCoreTaskDone.status; USQualityCoreTaskDone.statusReason; USQualityCoreTaskDone.reasonCode"
"Vital Signs","Average Blood Pressure","Arithmetic average of systolic and diastolic components of two of more blood pressure readings in a specified time period or according to a specified algorithm or protocol. Examples include but are not limited to 3-day morning and evening home monitoring, clinical encounter repeat average, and 24-hour ambulatory measurement.","http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure|9.0.0","",""
"Vital Signs","BMI","Body mass index is a value derived from the mass and height of a person. The BMI is defined as the body mass divided by the square of the body height, and is expressed in units of kg/m², resulting from mass in kilograms and height in meters.","http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi|9.0.0","",""
"Vital Signs","BMI Percentile (2 - 20 years)","BMI-for-age percentile shows how a child's weight compares to that of other children of the same age and sex.","http://hl7.org/fhir/us/core/StructureDefinition/pediatric-bmi-for-age|9.0.0","",""
"Vital Signs","Body Height","The vertical measurement of an individual's stature from the feet to the top of the head when standing upright.","http://hl7.org/fhir/us/core/StructureDefinition/us-core-body-height|9.0.0","",""
"Vital Signs","Body Temperature","Temperature is a measure of the patient's ability to generate and get rid of heat.","http://hl7.org/fhir/us/core/StructureDefinition/us-core-body-temperature|9.0.0","",""
